['Pseudo :', 'esu-LX', 'AccountID :', '2dd1e832-8f25-44c1-8189-ff28d7388806', 'Total points :', 20517936, 'Rank :', 117]
['Pseudo :', 'JajaTM', 'AccountID :', '391f1aeb-744f-4c8c-8ce3-dcd53cfbf883', 'Total points :', 20369815, 'Rank :', 118]
['Pseudo :', 'apX.Vixxa', 'AccountID :', '541cd232-0daa-48c4-8e59-5d9d70371f51', 'Total points :', 20347578, 'Rank :', 119]
['Pseudo :', 'TSUN_SIQAA', 'AccountID :', '4e545828-da45-45ff-9b89-dbed2590fa5e', 'Total points :', 20343579, 'Rank :', 120]
['Pseudo :', 'PokeR.4W', 'AccountID :', 'eb30a7cb-d9c0-49e7-92b4-1eadeeddcd12', 'Total points :', 20309484, 'Rank :', 121]
['Pseudo :', 'kulvgod', 'AccountID :', '10ac7fc8-d6ec-45bc-a1e8-f19ee49ce0ce', 'Total points :', 20215441, 'Rank :', 122]
['Pseudo :', 'Fastxz', 'AccountID :', '53472f38-b606-4196-ac80-b1ef1b64629c', 'Total points :', 20154463, 'Rank :', 123]
['Pseudo :', 'Hyll.', 'AccountID :', 'aca96daf-0fda-4496-9887-22e616d8a481', 'Total points :', 20151106, 'Rank :', 124]
['Pseudo :', 'Zenyy_', 'AccountID :', 'c99dfab2-f51d-4065-9d9b-29598f1bbfcc', 'Total points :', 19762042, 'Rank :', 125]
['Pseudo :', 'Maassimoto', 'AccountID :', '0c08bcd9-2f9b-42b3-b35d-069f8dbd0188', 'Total points :', 19563600, 'Rank :', 126]
['Pseudo :', 'Haswa.', 'AccountID :', 'ccdf7498-44ce-4d22-b467-fd353f5102d7', 'Total points :', 19533171, 'Rank :', 127]
['Pseudo :', 'Nerms23', 'AccountID :', '70e6f70b-5670-48d8-8551-fb8bb5181f03', 'Total points :', 19508268, 'Rank :', 128]
['Pseudo :', 'ScottypioTTV', 'AccountID :', 'fe525ce4-c635-4af2-9b27-cd216a4aa3a4', 'Total points :', 19504858, 'Rank :', 129]
['Pseudo :', 'rattenjungexd', 'AccountID :', 'fc4105dd-bd5e-40bf-a245-a9e678f32177', 'Total points :', 19397109, 'Rank :', 130]
['Pseudo :', 'Joooooooooey', 'AccountID :', 'f4843288-5992-46a7-bca9-755faaba1608', 'Total points :', 19340714, 'Rank :', 131]
['Pseudo :', 'NoddTM', 'AccountID :', '8da51c17-1651-4ab1-af35-7d26e0e68e23', 'Total points :', 19063098, 'Rank :', 132]
['Pseudo :', 'MnM_nevermind', 'AccountID :', '62cc4974-81f2-4d79-adc4-5b4ed275c6b2', 'Total points :', 19020773, 'Rank :', 133]
['Pseudo :', 'maxi46maxi', 'AccountID :', 'cd5e5278-bf0e-47d4-911b-2a62c9f37a45', 'Total points :', 18681685, 'Rank :', 134]
['Pseudo :', 'AreogonTM', 'AccountID :', '2af66cfe-4ad9-4c0b-9459-f041636e11c6', 'Total points :', 18535550, 'Rank :', 135]
['Pseudo :', 'TM_T0mmy', 'AccountID :', '15b02a29-73f5-459d-a46e-4a28b1941c34', 'Total points :', 18470727, 'Rank :', 136]
['Pseudo :', 'TTV-Hypixls', 'AccountID :', '37f348ed-e7f5-479f-8853-e603ae3b144e', 'Total points :', 18056995, 'Rank :', 137]
['Pseudo :', 'nsc.Paulmar', 'AccountID :', '0f400a09-023c-4787-87ed-72261460f337', 'Total points :', 18023797, 'Rank :', 138]
['Pseudo :', 'randomplayer343', 'AccountID :', 'c73ada99-ba5d-47a9-a4f7-d7609c7373a2', 'Total points :', 17882247, 'Rank :', 139]
['Pseudo :', 'AurisTFG', 'AccountID :', '1def9b7f-7da6-412c-9d9b-6f3065e95638', 'Total points :', 17770530, 'Rank :', 140]
['Pseudo :', 'spaille_', 'AccountID :', 'ac282808-6566-415b-aaca-23665503cae0', 'Total points :', 17654224, 'Rank :', 141]
['Pseudo :', 'Sholto69', 'AccountID :', '796c5f84-3185-4d25-8561-339413019c7b', 'Total points :', 17616611, 'Rank :', 142]
['Pseudo :', 'magga009', 'AccountID :', 'b203af9c-ea87-402e-a5d6-9a7df4ef9c5e', 'Total points :', 17569029, 'Rank :', 143]
['Pseudo :', 'Nico_TM', 'AccountID :', '134364d8-7e33-41ed-a727-25a571ae6509', 'Total points :', 17527163, 'Rank :', 144]
['Pseudo :', 'Vulnerra', 'AccountID :', '9da54743-020c-4e87-82b9-1dad80f8162d', 'Total points :', 17434984, 'Rank :', 145]
['Pseudo :', 'shieldbandit', 'AccountID :', '98b7dfd7-6706-47f4-9b47-6362e9daf7a2', 'Total points :', 17414057, 'Rank :', 146]
['Pseudo :', 'TheChraz', 'AccountID :', 'e57ec560-faa8-4f25-a75b-c7e9caf0afe5', 'Total points :', 17390869, 'Rank :', 147]
['Pseudo :', 'Speedself', 'AccountID :', 'fca45078-6ba6-4fd4-bcb6-329a72cbca05', 'Total points :', 17343634, 'Rank :', 148]
['Pseudo :', 'bunyontm', 'AccountID :', '694721bc-8f96-4fdc-951c-5c7ecfb46b2b', 'Total points :', 17267813, 'Rank :', 149]
['Pseudo :', 'clem_rpg', 'AccountID :', 'bff7fd55-c77e-4243-b626-3655ae0b24af', 'Total points :', 16914002, 'Rank :', 150]
